year,month,day,hour,min,current dir,current speed,wind dir,wind speed,lat,lon
2010,6,18,15,0,207.0,0.022,,,27.173,82.924
2010,6,18,17,0,,,,,27.173,82.924
2010,6,18,18,0,,,,,27.173,82.924
2010,6,18,19,0,124.0,0.072,,,27.173,82.924
2010,6,18,20,0,138.0,0.12,,,27.173,82.924
2010,6,18,22,0,,,,,27.173,82.924
2010,6,18,23,0,,,,,27.173,82.924
2010,6,19,0,0,,,,,27.173,82.924
2010,6,19,1,0,,,,,27.173,82.924
2010,6,19,2,0,,,,,27.173,82.924
2010,6,19,3,0,,,,,27.173,82.924
2010,6,19,4,0,,,,,27.173,82.924
2010,6,19,5,0,,,,,27.173,82.924
2010,6,19,6,0,,,,,27.173,82.924
2010,6,19,7,0,,,,,27.173,82.924
2010,6,19,8,0,,,,,27.173,82.924
2010,6,19,9,0,,,,,27.173,82.924
2010,6,19,10,0,90.0,0.05,,,27.173,82.924
2010,6,19,11,0,104.0,0.0409999999999999,,,27.173,82.924
2010,6,19,12,0,90.0,0.04,,,27.173,82.924
2010,6,19,13,0,90.0,0.08,,,27.173,82.924
2010,6,19,14,0,90.0,0.08,,,27.173,82.924
2010,6,19,15,0,90.0,0.09,,,27.173,82.924
2010,6,19,16,0,94.0,0.14,,,27.173,82.924
2010,6,19,17,0,101.0,0.153,,,27.173,82.924
2010,6,19,18,0,101.0,0.153,,,27.173,82.924
2010,6,19,19,0,101.0,0.204,,,27.173,82.924
2010,6,19,20,0,105.0,0.228,,,27.173,82.924
2010,6,19,21,0,111.0,0.247,,,27.173,82.924
2010,6,19,22,0,,,,,27.173,82.924
2010,6,19,23,0,,,,,27.173,82.924
2010,6,20,0,0,35.0,0.28,,,27.173,82.924
2010,6,20,1,0,,,,,27.173,82.924
2010,6,20,2,0,,,,,27.173,82.924
2010,6,20,3,0,34.0,0.288,,,27.173,82.924
2010,6,20,4,0,34.0,0.288,,,27.173,82.924
2010,6,20,5,0,35.0,0.28,,,27.173,82.924
2010,6,20,6,0,36.0,0.272,,,27.173,82.924
2010,6,20,7,0,,,,,27.173,82.924
2010,6,20,8,0,,,,,27.173,82.924
2010,6,20,9,0,37.0,0.264,,,27.173,82.924
2010,6,20,10,0,,,,,27.173,82.924
2010,6,20,11,0,153.0,0.022,,,27.173,82.924
2010,6,20,12,0,180.0,0.03,,,27.173,82.924
2010,6,20,13,0,202.0,0.054,,,27.173,82.924
2010,6,20,14,0,225.0,0.0279999999999999,,,27.173,82.924
2010,6,20,15,0,90.0,0.04,,,27.173,82.924
2010,6,20,16,0,360.0,0.03,,,27.173,82.924
2010,6,20,17,0,72.0,0.032,,,27.173,82.924
2010,6,20,18,0,83.0,0.081,,,27.173,82.924
2010,6,20,19,0,79.0,0.102,,,27.173,82.924
2010,6,20,20,0,90.0,0.1,,,27.173,82.924
2010,6,20,21,0,131.0,0.092,,,27.173,82.924
2010,6,20,22,0,113.0,0.13,,,27.173,82.924
2010,6,20,23,0,,,,,27.173,82.924
2010,6,21,0,0,,,,,27.173,82.924
2010,6,21,1,0,,,,,27.173,82.924
2010,6,21,2,0,,,,,27.173,82.924
2010,6,21,3,0,,,,,27.173,82.924
2010,6,21,4,0,36.0,0.272,,,27.173,82.924
2010,6,21,5,0,,,,,27.173,82.924
2010,6,21,6,0,36.0,0.272,,,27.173,82.924
2010,6,21,7,0,37.0,0.264,,,27.173,82.924
2010,6,21,8,0,,,,,27.173,82.924
2010,6,21,9,0,,,,,27.173,82.924
2010,6,21,10,0,,,,,27.173,82.924
2010,6,21,11,0,18.0,0.032,,,27.173,82.924
2010,6,21,12,0,45.0,0.057,,,27.173,82.924
2010,6,21,13,0,360.0,0.04,,,27.173,82.924
2010,6,21,14,0,9.0,0.061,,,27.173,82.924
2010,6,21,15,0,355.0,0.11,,,27.173,82.924
2010,6,21,16,0,5.0,0.12,,,27.173,82.924
2010,6,21,17,0,6.0,0.181,,,27.173,82.924
2010,6,21,18,0,20.0,0.2019999999999999,,,27.173,82.924
2010,6,21,19,0,39.0,0.192,,,27.173,82.924
2010,6,21,20,0,49.0,0.213,,,27.173,82.924
2010,6,21,21,0,51.0,0.22,,,27.173,82.924
2010,6,21,22,0,61.0,0.228,,,27.173,82.924
2010,6,21,23,0,,,,,27.173,82.924
2010,6,22,0,0,,,,,27.173,82.924
2010,6,22,1,0,,,,,27.173,82.924
2010,6,22,2,0,33.0,0.297,,,27.173,82.924
2010,6,22,3,0,,,,,27.173,82.924
2010,6,22,4,0,,,,,27.173,82.924
2010,6,22,5,0,,,,,27.173,82.924
2010,6,22,6,0,,,,,27.173,82.924
2010,6,22,7,0,,,,,27.173,82.924
2010,6,22,8,0,,,,,27.173,82.924
2010,6,22,9,0,,,,,27.173,82.924
2010,6,22,10,0,,,,,27.173,82.924
2010,6,22,11,0,360.0,0.12,,,27.173,82.924
2010,6,22,12,0,7.0,0.081,,,27.173,82.924
2010,6,22,13,0,14.0,0.0819999999999999,,,27.173,82.924
2010,6,22,14,0,27.0,0.067,,,27.173,82.924
2010,6,22,15,0,21.0,0.085,,,27.173,82.924
2010,6,22,16,0,24.0,0.098,,,27.173,82.924
2010,6,22,17,0,13.0,0.092,,,27.173,82.924
2010,6,22,18,0,36.0,0.086,,,27.173,82.924
2010,6,22,19,0,60.0,0.139,,,27.173,82.924
2010,6,22,20,0,77.0,0.175,,,27.173,82.924
2010,6,22,21,0,87.0,0.21,,,27.173,82.924
2010,6,22,22,0,,,,,27.173,82.924
2010,6,22,23,0,,,,,27.173,82.924
2010,6,23,0,0,,,,,27.173,82.924
2010,6,23,1,0,,,,,27.173,82.924
2010,6,23,2,0,33.0,0.297,,,27.173,82.924
2010,6,23,3,0,33.0,0.297,,,27.173,82.924
2010,6,23,4,0,33.0,0.297,,,27.173,82.924
2010,6,23,5,0,33.0,0.297,,,27.173,82.924
2010,6,23,6,0,34.0,0.288,,,27.173,82.924
2010,6,23,7,0,,,,,27.173,82.924
2010,6,23,8,0,34.0,0.288,,,27.173,82.924
2010,6,23,9,0,360.0,0.14,,,27.173,82.924
2010,6,23,10,0,34.0,0.288,,,27.173,82.924
2010,6,23,11,0,344.0,0.073,,,27.173,82.924
2010,6,23,12,0,360.0,0.07,,,27.173,82.924
2010,6,23,13,0,39.0,0.064,,,27.173,82.924
2010,6,23,14,0,36.0,0.086,,,27.173,82.924
2010,6,23,15,0,54.0,0.086,,,27.173,82.924
2010,6,23,16,0,37.0,0.05,,,27.173,82.924
2010,6,23,17,0,81.0,0.061,,,27.173,82.924
2010,6,23,18,0,82.0,0.071,,,27.173,82.924
2010,6,23,19,0,83.0,0.081,,,27.173,82.924
2010,6,23,20,0,68.0,0.108,,,27.173,82.924
2010,6,23,21,0,73.0,0.136,,,27.173,82.924
2010,6,23,22,0,,,,,27.173,82.924
2010,6,23,23,0,35.0,0.28,,,27.173,82.924
2010,6,24,0,0,35.0,0.28,,,27.173,82.924
2010,6,24,1,0,35.0,0.28,,,27.173,82.924
2010,6,24,2,0,34.0,0.288,,,27.173,82.924
2010,6,24,3,0,34.0,0.288,,,27.173,82.924
2010,6,24,4,0,34.0,0.288,,,27.173,82.924
2010,6,24,5,0,34.0,0.288,,,27.173,82.924
2010,6,24,6,0,,,,,27.173,82.924
2010,6,24,7,0,108.0,0.063,,,27.173,82.924
2010,6,24,8,0,,,,,27.173,82.924
2010,6,24,9,0,45.0,0.085,,,27.173,82.924
2010,6,24,10,0,35.0,0.28,,,27.173,82.924
2010,6,24,11,0,45.0,0.085,,,27.173,82.924
2010,6,24,12,0,51.0,0.064,,,27.173,82.924
2010,6,24,13,0,69.0,0.085,,,27.173,82.924
2010,6,24,14,0,70.0,0.1169999999999999,,,27.173,82.924
2010,6,24,15,0,90.0,0.1,,,27.173,82.924
2010,6,24,16,0,90.0,0.08,,,27.173,82.924
2010,6,24,17,0,108.0,0.063,,,27.173,82.924
2010,6,24,18,0,122.0,0.094,,,27.173,82.924
2010,6,24,19,0,113.0,0.076,,,27.173,82.924
2010,6,24,20,0,114.0,0.098,,,27.173,82.924
2010,6,24,21,0,,,,,27.173,82.924
2010,6,24,22,0,37.0,0.264,,,27.173,82.924
2010,6,24,23,0,,,,,27.173,82.924
2010,6,25,0,0,,,,,27.173,82.924
2010,6,25,1,0,,,,,27.173,82.924
2010,6,25,2,0,,,,,27.173,82.924
2010,6,25,3,0,,,,,27.173,82.924
2010,6,25,4,0,35.0,0.28,,,27.173,82.924
2010,6,25,5,0,,,,,27.173,82.924
2010,6,25,6,0,214.0,0.108,,,27.173,82.924
2010,6,25,7,0,210.0,0.081,,,27.173,82.924
2010,6,25,8,0,233.0,0.05,,,27.173,82.924
2010,6,25,9,0,270.0,0.02,,,27.173,82.924
2010,6,25,10,0,63.0,0.045,,,27.173,82.924
2010,6,25,11,0,50.0,0.078,,,27.173,82.924
2010,6,25,12,0,77.0,0.092,,,27.173,82.924
2010,6,25,13,0,67.0,0.076,,,27.173,82.924
2010,6,25,14,0,74.0,0.073,,,27.173,82.924
2010,6,25,15,0,83.0,0.081,,,27.173,82.924
2010,6,25,16,0,90.0,0.06,,,27.173,82.924
2010,6,25,17,0,141.0,0.064,,,27.173,82.924
2010,6,25,18,0,144.0,0.086,,,27.173,82.924
2010,6,25,19,0,135.0,0.071,,,27.173,82.924
2010,6,25,20,0,171.0,0.061,,,27.173,82.924
2010,6,25,21,0,143.0,0.05,,,27.173,82.924
2010,6,25,22,0,101.0,0.051,,,27.173,82.924
2010,6,25,23,0,108.0,0.095,,,27.173,82.924
2010,6,26,0,0,125.0,0.122,,,27.173,82.924
2010,6,26,1,0,123.0,0.166,,,27.173,82.924
2010,6,26,2,0,131.0,0.198,,,27.173,82.924
2010,6,26,3,0,131.0,0.198,,,27.173,82.924
2010,6,26,4,0,143.0,0.15,,,27.173,82.924
2010,6,26,5,0,180.0,0.15,,,27.173,82.924
2010,6,26,6,0,189.0,0.132,,,27.173,82.924
2010,6,26,7,0,201.0,0.085,,,27.173,82.924
2010,6,26,8,0,225.0,0.085,,,27.173,82.924
2010,6,26,9,0,248.0,0.054,,,27.173,82.924
2010,6,26,10,0,333.0,0.022,,,27.173,82.924
2010,6,26,11,0,9.0,0.061,,,27.173,82.924
2010,6,26,12,0,45.0,0.099,,,27.173,82.924
2010,6,26,13,0,61.0,0.103,,,27.173,82.924
2010,6,26,14,0,56.0,0.108,,,27.173,82.924
2010,6,26,15,0,60.0,0.081,,,27.173,82.924
2010,6,26,16,0,90.0,0.11,,,27.173,82.924
2010,6,26,17,0,106.0,0.073,,,27.173,82.924
2010,6,26,18,0,141.0,0.064,,,27.173,82.924
2010,6,26,19,0,169.0,0.051,,,27.173,82.924
2010,6,26,20,0,180.0,0.06,,,27.173,82.924
2010,6,26,21,0,180.0,0.03,,,27.173,82.924
2010,6,26,22,0,0.0,0.0,,,27.173,82.924
2010,6,26,23,0,360.0,0.04,,,27.173,82.924
2010,6,27,0,0,45.0,0.0279999999999999,,,27.173,82.924
2010,6,27,1,0,72.0,0.063,,,27.173,82.924
2010,6,27,2,0,90.0,0.07,,,27.173,82.924
2010,6,27,3,0,117.0,0.067,,,27.173,82.924
2010,6,27,4,0,124.0,0.072,,,27.173,82.924
2010,6,27,5,0,149.0,0.0579999999999999,,,27.173,82.924
2010,6,27,6,0,158.0,0.054,,,27.173,82.924
2010,6,27,7,0,194.0,0.0409999999999999,,,27.173,82.924
2010,6,27,8,0,191.0,0.051,,,27.173,82.924
2010,6,27,9,0,180.0,0.05,,,27.173,82.924
2010,6,27,10,0,252.0,0.032,,,27.173,82.924
2010,6,27,11,0,297.0,0.022,,,27.173,82.924
2010,6,27,12,0,56.0,0.036,,,27.173,82.924
2010,6,27,13,0,90.0,0.04,,,27.173,82.924
2010,6,27,14,0,79.0,0.051,,,27.173,82.924
2010,6,27,15,0,,0.061,,,27.173,82.924
2010,6,27,16,0,90.0,0.04,,,27.173,82.924
2010,6,27,17,0,27.0,0.022,,,27.173,82.924
2010,6,27,18,0,27.0,0.022,,,27.173,82.924
2010,6,27,19,0,270.0,0.01,,,27.173,82.924
2010,6,27,20,0,270.0,0.02,,,27.173,82.924
2010,6,27,21,0,360.0,0.02,,,27.173,82.924
2010,6,27,22,0,360.0,0.05,,,27.173,82.924
2010,6,27,23,0,22.0,0.054,,,27.173,82.924
2010,6,28,0,0,38.0,0.114,,,27.173,82.924
2010,6,28,1,0,55.0,0.122,,,27.173,82.924
2010,6,28,2,0,73.0,0.104,,,27.173,82.924
2010,6,28,3,0,84.0,0.091,,,27.173,82.924
2010,6,28,4,0,74.0,0.073,,,27.173,82.924
2010,6,28,5,0,90.0,0.06,,,27.173,82.924
2010,6,28,6,0,90.0,0.04,,,27.173,82.924
2010,6,28,7,0,207.0,0.022,,,27.173,82.924
