year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed
2010,3,1,0,0,13.0,0.095,27.939,96.843,,
2010,3,1,0,30,359.0,0.072,27.939,96.843,,
2010,3,1,1,0,20.0,0.079,27.939,96.843,,
2010,3,1,1,30,17.0,0.061,27.939,96.843,,
2010,3,1,2,0,4.0,0.06,27.939,96.843,,
2010,3,1,2,30,15.0,0.066,27.939,96.843,,
2010,3,1,3,0,12.0,0.049,27.939,96.843,,
2010,3,1,3,30,350.0,0.05,27.939,96.843,,
2010,3,1,4,0,6.0,0.035,27.939,96.843,,
2010,3,1,4,30,4.0,0.023,27.939,96.843,,
2010,3,1,5,0,19.0,0.03,27.939,96.843,,
2010,3,1,5,30,92.0,0.0139999999999999,27.939,96.843,,
2010,3,1,6,0,168.0,0.023,27.939,96.843,,
2010,3,1,6,30,199.0,0.039,27.939,96.843,,
2010,3,1,7,0,179.0,0.072,27.939,96.843,,
2010,3,1,7,30,188.0,0.088,27.939,96.843,,
2010,3,1,8,0,193.0,0.124,27.939,96.843,,
2010,3,1,8,30,191.0,0.148,27.939,96.843,,
2010,3,1,9,0,206.0,0.176,27.939,96.843,,
2010,3,1,9,30,202.0,0.17,27.939,96.843,,
2010,3,1,10,0,203.0,0.217,27.939,96.843,,
2010,3,1,10,30,206.0,0.195,27.939,96.843,,
2010,3,1,11,0,214.0,0.231,27.939,96.843,,
2010,3,1,11,30,207.0,0.241,27.939,96.843,,
2010,3,1,12,0,219.0,0.239,27.939,96.843,,
2010,3,1,12,30,201.0,0.268,27.939,96.843,,
2010,3,1,13,0,205.0,0.32,27.939,96.843,,
2010,3,1,13,30,207.0,0.3379999999999999,27.939,96.843,,
2010,3,1,14,0,212.0,0.35,27.939,96.843,,
2010,3,1,14,30,213.0,0.3979999999999999,27.939,96.843,,
2010,3,1,15,0,216.0,0.405,27.939,96.843,,
2010,3,1,15,30,222.0,0.412,27.939,96.843,,
2010,3,1,16,0,226.0,0.385,27.939,96.843,,
