year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed,temp
2010,3,1,0,30,280.0,0.139,28.842,94.242,,,
2010,3,1,1,0,289.0,0.143,28.842,94.242,,,
2010,3,1,1,30,296.0,0.142,28.842,94.242,,,
2010,3,1,2,0,308.0,0.154,28.842,94.242,,,
2010,3,1,2,30,317.0,0.16,28.842,94.242,,,
2010,3,1,3,0,321.0,0.129,28.842,94.242,,,
2010,3,1,3,30,324.0,0.15,28.842,94.242,,,
2010,3,1,4,0,329.0,0.126,28.842,94.242,,,
2010,3,1,4,30,339.0,0.151,28.842,94.242,,,
2010,3,1,5,0,345.0,0.157,28.842,94.242,,,
2010,3,1,5,30,343.0,0.167,28.842,94.242,,,
2010,3,1,6,0,347.0,0.128,28.842,94.242,,,
2010,3,1,6,30,339.0,0.13,28.842,94.242,,,
2010,3,1,7,0,336.0,0.119,28.842,94.242,,,
2010,3,1,10,30,232.0,0.227,28.842,94.242,,,
2010,3,1,11,0,231.0,0.243,28.842,94.242,,,
2010,3,1,11,30,238.0,0.268,28.842,94.242,,,
2010,3,1,12,0,241.0,0.256,28.842,94.242,,,
2010,3,1,12,30,245.0,0.239,28.842,94.242,,,
2010,3,1,13,0,246.0,0.266,28.842,94.242,,,
2010,3,1,13,30,254.0,0.242,28.842,94.242,,,
2010,3,1,14,0,261.0,0.244,28.842,94.242,,,
2010,3,1,14,30,260.0,0.249,28.842,94.242,,,
2010,3,1,15,0,274.0,0.195,28.842,94.242,,,
2010,3,1,15,30,290.0,0.177,28.842,94.242,,,
2010,3,1,16,0,298.0,0.177,28.842,94.242,,,
2010,3,1,16,30,303.0,0.179,28.842,94.242,,,
2010,3,1,17,0,320.0,0.145,28.842,94.242,,,
2010,3,1,17,30,313.0,0.163,28.842,94.242,,,
2010,3,1,18,0,342.0,0.171,28.842,94.242,,,
2010,3,1,18,30,2.0,0.151,28.842,94.242,,,
2010,3,1,19,0,45.0,0.079,28.842,94.242,,,
2010,3,1,19,30,124.0,0.086,28.842,94.242,,,
2010,3,1,20,0,169.0,0.186,28.842,94.242,,,
2010,3,1,20,30,192.0,0.285,28.842,94.242,,,
2010,3,1,21,0,209.0,0.297,28.842,94.242,,,
2010,3,1,21,30,236.0,0.43,28.842,94.242,,,
2010,3,1,22,0,233.0,0.45,28.842,94.242,,,
2010,3,1,22,30,231.0,0.47,28.842,94.242,,,
2010,3,1,23,0,228.0,0.452,28.842,94.242,,,
2010,3,1,23,30,228.0,0.469,28.842,94.242,,,
2010,3,2,0,0,226.0,0.487,28.842,94.242,,,
2010,3,2,0,30,238.0,0.554,28.842,94.242,,,
2010,3,2,1,0,236.0,0.594,28.842,94.242,,,
2010,3,2,1,30,240.0,0.564,28.842,94.242,,,
2010,3,2,2,0,248.0,0.515,28.842,94.242,,,
2010,3,2,2,30,247.0,0.514,28.842,94.242,,,
2010,3,2,3,0,250.0,0.481,28.842,94.242,,,
2010,3,2,3,30,248.0,0.473,28.842,94.242,,,
2010,3,2,4,0,249.0,0.452,28.842,94.242,,,
2010,3,2,4,30,246.0,0.437,28.842,94.242,,,
2010,3,2,5,0,249.0,0.428,28.842,94.242,,,
2010,3,2,20,30,258.0,0.0409999999999999,28.842,94.242,,,
2010,3,2,21,0,203.0,0.019,28.842,94.242,,,
2010,3,2,21,30,258.0,0.034,28.842,94.242,,,
2010,3,2,22,0,209.0,0.0579999999999999,28.842,94.242,,,
2010,3,2,22,30,239.0,0.071,28.842,94.242,,,
2010,3,2,23,0,220.0,0.07,28.842,94.242,,,
2010,3,2,23,30,199.0,0.0559999999999999,28.842,94.242,,,
2010,3,3,0,0,204.0,0.092,28.842,94.242,,,
2010,3,3,0,30,193.0,0.123,28.842,94.242,,,
2010,3,3,1,0,207.0,0.108,28.842,94.242,,,
2010,3,3,1,30,196.0,0.132,28.842,94.242,,,
2010,3,3,2,0,208.0,0.151,28.842,94.242,,,
2010,3,3,2,30,215.0,0.178,28.842,94.242,,,
2010,3,3,3,0,211.0,0.174,28.842,94.242,,,
2010,3,3,9,30,301.0,0.203,28.842,94.242,,,
2010,3,3,10,0,303.0,0.189,28.842,94.242,,,
2010,3,3,10,30,307.0,0.176,28.842,94.242,,,
2010,3,3,11,0,301.0,0.173,28.842,94.242,,,
2010,3,3,11,30,294.0,0.177,28.842,94.242,,,
2010,3,3,12,0,286.0,0.182,28.842,94.242,,,
2010,3,3,12,30,271.0,0.168,28.842,94.242,,,
2010,3,3,13,0,264.0,0.185,28.842,94.242,,,
2010,3,3,13,30,264.0,0.195,28.842,94.242,,,
2010,3,3,14,0,256.0,0.201,28.842,94.242,,,
2010,3,3,14,30,248.0,0.213,28.842,94.242,,,
2010,3,3,15,0,253.0,0.218,28.842,94.242,,,
2010,3,3,15,30,256.0,0.21,28.842,94.242,,,
2010,3,3,16,0,254.0,0.213,28.842,94.242,,,
2010,3,3,17,30,277.0,0.207,28.842,94.242,,,
2010,3,3,18,0,280.0,0.197,28.842,94.242,,,
2010,3,3,18,30,284.0,0.205,28.842,94.242,,,
2010,3,3,19,0,292.0,0.186,28.842,94.242,,,
2010,3,3,19,30,303.0,0.1989999999999999,28.842,94.242,,,
2010,3,3,20,0,296.0,0.17,28.842,94.242,,,
2010,3,3,20,30,303.0,0.158,28.842,94.242,,,
2010,3,3,21,0,305.0,0.1989999999999999,28.842,94.242,,,
2010,3,3,21,30,305.0,0.176,28.842,94.242,,,
2010,3,3,22,0,294.0,0.171,28.842,94.242,,,
2010,3,3,22,30,282.0,0.157,28.842,94.242,,,
2010,3,3,23,0,276.0,0.165,28.842,94.242,,,
2010,3,3,23,30,269.0,0.156,28.842,94.242,,,
2010,3,4,0,0,254.0,0.179,28.842,94.242,,,
2010,3,4,1,30,242.0,0.208,28.842,94.242,,,
2010,3,4,2,0,244.0,0.189,28.842,94.242,,,
2010,3,4,2,30,255.0,0.185,28.842,94.242,,,
2010,3,4,3,0,254.0,0.175,28.842,94.242,,,
2010,3,4,3,30,267.0,0.154,28.842,94.242,,,
2010,3,4,4,0,275.0,0.15,28.842,94.242,,,
2010,3,4,4,30,284.0,0.16,28.842,94.242,,,
2010,3,4,5,0,294.0,0.154,28.842,94.242,,,
2010,3,4,5,30,309.0,0.166,28.842,94.242,,,
2010,3,4,6,0,320.0,0.173,28.842,94.242,,,
2010,3,4,6,30,325.0,0.201,28.842,94.242,,,
2010,3,4,7,0,329.0,0.208,28.842,94.242,,,
2010,3,4,7,30,336.0,0.237,28.842,94.242,,,
2010,3,4,8,0,337.0,0.246,28.842,94.242,,,
2010,3,4,8,30,339.0,0.252,28.842,94.242,,,
2010,3,4,9,0,340.0,0.242,28.842,94.242,,,
2010,3,4,9,30,342.0,0.231,28.842,94.242,,,
2010,3,4,10,0,334.0,0.201,28.842,94.242,,,
2010,3,4,10,30,334.0,0.177,28.842,94.242,,,
2010,3,4,11,0,326.0,0.184,28.842,94.242,,,
2010,3,4,11,30,315.0,0.156,28.842,94.242,,,
2010,3,4,12,0,295.0,0.156,28.842,94.242,,,
2010,3,4,12,30,297.0,0.163,28.842,94.242,,,
2010,3,4,13,0,295.0,0.16,28.842,94.242,,,
2010,3,4,13,30,278.0,0.163,28.842,94.242,,,
2010,3,4,14,0,275.0,0.171,28.842,94.242,,,
2010,3,4,14,30,276.0,0.171,28.842,94.242,,,
2010,3,4,15,0,271.0,0.175,28.842,94.242,,,
2010,3,4,15,30,276.0,0.193,28.842,94.242,,,
2010,3,4,16,0,283.0,0.201,28.842,94.242,,,
2010,3,4,16,30,291.0,0.203,28.842,94.242,,,
2010,3,4,17,0,294.0,0.2239999999999999,28.842,94.242,,,
2010,3,4,17,30,297.0,0.225,28.842,94.242,,,
2010,3,4,18,0,298.0,0.239,28.842,94.242,,,
2010,3,4,18,30,299.0,0.241,28.842,94.242,,,
2010,3,4,19,0,303.0,0.25,28.842,94.242,,,
2010,3,4,19,30,310.0,0.273,28.842,94.242,,,
2010,3,4,20,0,311.0,0.287,28.842,94.242,,,
2010,3,4,20,30,308.0,0.276,28.842,94.242,,,
2010,3,4,21,0,307.0,0.26,28.842,94.242,,,
2010,3,4,21,30,311.0,0.256,28.842,94.242,,,
2010,3,4,22,0,310.0,0.249,28.842,94.242,,,
2010,3,4,22,30,306.0,0.22,28.842,94.242,,,
2010,3,4,23,30,292.0,0.181,28.842,94.242,,,
2010,3,5,0,0,286.0,0.147,28.842,94.242,,,
2010,3,5,0,30,271.0,0.154,28.842,94.242,,,
2010,3,5,1,0,258.0,0.189,28.842,94.242,,,
2010,3,5,1,30,248.0,0.187,28.842,94.242,,,
2010,3,5,2,0,237.0,0.207,28.842,94.242,,,
2010,3,5,2,30,239.0,0.215,28.842,94.242,,,
2010,3,5,3,0,257.0,0.189,28.842,94.242,,,
2010,3,5,3,30,262.0,0.205,28.842,94.242,,,
2010,3,5,4,0,270.0,0.208,28.842,94.242,,,
2010,3,5,4,30,290.0,0.241,28.842,94.242,,,
2010,3,5,5,0,294.0,0.23,28.842,94.242,,,
2010,3,5,5,30,304.0,0.255,28.842,94.242,,,
2010,3,5,6,0,305.0,0.24,28.842,94.242,,,
2010,3,5,6,30,308.0,0.226,28.842,94.242,,,
2010,3,5,7,0,306.0,0.233,28.842,94.242,,,
2010,3,5,7,30,311.0,0.243,28.842,94.242,,,
2010,3,5,8,0,305.0,0.259,28.842,94.242,,,
2010,3,5,8,30,306.0,0.296,28.842,94.242,,,
2010,3,5,9,0,304.0,0.272,28.842,94.242,,,
2010,3,5,9,30,310.0,0.247,28.842,94.242,,,
2010,3,5,10,0,310.0,0.253,28.842,94.242,,,
2010,3,5,10,30,314.0,0.26,28.842,94.242,,,
2010,3,5,11,0,317.0,0.244,28.842,94.242,,,
2010,3,5,11,30,315.0,0.275,28.842,94.242,,,
2010,3,5,12,0,313.0,0.262,28.842,94.242,,,
2010,3,5,12,30,310.0,0.247,28.842,94.242,,,
2010,3,5,13,0,319.0,0.245,28.842,94.242,,,
2010,3,5,13,30,315.0,0.223,28.842,94.242,,,
2010,3,5,14,0,315.0,0.205,28.842,94.242,,,
2010,3,5,14,30,312.0,0.215,28.842,94.242,,,
2010,3,5,15,0,312.0,0.178,28.842,94.242,,,
2010,3,5,15,30,311.0,0.166,28.842,94.242,,,
2010,3,5,16,0,295.0,0.172,28.842,94.242,,,
2010,3,5,16,30,292.0,0.178,28.842,94.242,,,
2010,3,5,17,0,302.0,0.246,28.842,94.242,,,
2010,3,5,17,30,299.0,0.242,28.842,94.242,,,
2010,3,5,18,0,303.0,0.24,28.842,94.242,,,
2010,3,5,18,30,298.0,0.238,28.842,94.242,,,
2010,3,5,19,0,305.0,0.2289999999999999,28.842,94.242,,,
2010,3,5,19,30,303.0,0.223,28.842,94.242,,,
2010,3,5,20,0,308.0,0.231,28.842,94.242,,,
2010,3,5,20,30,301.0,0.214,28.842,94.242,,,
2010,3,5,21,0,302.0,0.193,28.842,94.242,,,
2010,3,5,21,30,302.0,0.197,28.842,94.242,,,
2010,3,5,22,0,287.0,0.206,28.842,94.242,,,
2010,3,5,22,30,287.0,0.1939999999999999,28.842,94.242,,,
2010,3,5,23,0,287.0,0.1989999999999999,28.842,94.242,,,
2010,3,5,23,30,283.0,0.217,28.842,94.242,,,
2010,3,6,0,0,280.0,0.2019999999999999,28.842,94.242,,,
2010,3,6,0,30,266.0,0.188,28.842,94.242,,,
2010,3,6,1,0,262.0,0.219,28.842,94.242,,,
2010,3,6,1,30,264.0,0.206,28.842,94.242,,,
2010,3,6,2,0,258.0,0.216,28.842,94.242,,,
2010,3,6,2,30,256.0,0.215,28.842,94.242,,,
2010,3,6,3,0,246.0,0.212,28.842,94.242,,,
2010,3,6,3,30,245.0,0.254,28.842,94.242,,,
2010,3,6,4,0,247.0,0.241,28.842,94.242,,,
2010,3,6,19,30,279.0,0.143,28.842,94.242,,,
2010,3,6,20,0,299.0,0.124,28.842,94.242,,,
2010,3,6,20,30,287.0,0.12,28.842,94.242,,,
2010,3,6,21,0,290.0,0.1369999999999999,28.842,94.242,,,
2010,3,6,21,30,326.0,0.166,28.842,94.242,,,
2010,3,6,22,0,330.0,0.177,28.842,94.242,,,
2010,3,6,22,30,320.0,0.188,28.842,94.242,,,
2010,3,6,23,0,331.0,0.189,28.842,94.242,,,
2010,3,6,23,30,323.0,0.173,28.842,94.242,,,
2010,3,7,0,0,331.0,0.177,28.842,94.242,,,
2010,3,7,0,30,309.0,0.185,28.842,94.242,,,
2010,3,7,1,0,306.0,0.1639999999999999,28.842,94.242,,,
2010,3,7,1,30,285.0,0.162,28.842,94.242,,,
2010,3,7,2,0,288.0,0.2019999999999999,28.842,94.242,,,
2010,3,7,2,30,291.0,0.182,28.842,94.242,,,
2010,3,7,3,0,270.0,0.186,28.842,94.242,,,
2010,3,7,3,30,262.0,0.175,28.842,94.242,,,
2010,3,7,4,0,256.0,0.208,28.842,94.242,,,
2010,3,7,4,30,245.0,0.1939999999999999,28.842,94.242,,,
2010,3,7,5,0,241.0,0.2289999999999999,28.842,94.242,,,
2010,3,7,5,30,231.0,0.213,28.842,94.242,,,
2010,3,7,6,0,237.0,0.163,28.842,94.242,,,
2010,3,7,6,30,238.0,0.272,28.842,94.242,,,
2010,3,7,7,0,230.0,0.26,28.842,94.242,,,
2010,3,7,7,30,234.0,0.249,28.842,94.242,,,
2010,3,7,8,0,235.0,0.236,28.842,94.242,,,
2010,3,7,8,30,240.0,0.308,28.842,94.242,,,
2010,3,7,9,0,239.0,0.3,28.842,94.242,,,
2010,3,7,9,30,233.0,0.305,28.842,94.242,,,
2010,3,7,10,0,227.0,0.304,28.842,94.242,,,
2010,3,7,10,30,218.0,0.235,28.842,94.242,,,
2010,3,7,11,0,218.0,0.233,28.842,94.242,,,
2010,3,7,11,30,208.0,0.2019999999999999,28.842,94.242,,,
2010,3,7,12,0,199.0,0.19,28.842,94.242,,,
2010,3,7,12,30,198.0,0.185,28.842,94.242,,,
2010,3,7,13,0,184.0,0.17,28.842,94.242,,,
2010,3,7,16,30,170.0,0.236,28.842,94.242,,,
2010,3,7,17,0,170.0,0.244,28.842,94.242,,,
2010,3,7,17,30,163.0,0.247,28.842,94.242,,,
2010,3,7,18,0,167.0,0.258,28.842,94.242,,,
2010,3,7,18,30,169.0,0.276,28.842,94.242,,,
2010,3,7,19,0,165.0,0.282,28.842,94.242,,,
2010,3,7,19,30,159.0,0.248,28.842,94.242,,,
2010,3,7,20,0,163.0,0.278,28.842,94.242,,,
2010,3,7,20,30,169.0,0.254,28.842,94.242,,,
2010,3,7,21,0,172.0,0.209,28.842,94.242,,,
2010,3,7,21,30,178.0,0.193,28.842,94.242,,,
2010,3,7,22,0,182.0,0.162,28.842,94.242,,,
2010,3,7,22,30,185.0,0.111,28.842,94.242,,,
2010,3,7,23,0,193.0,0.124,28.842,94.242,,,
2010,3,8,0,30,191.0,0.0559999999999999,28.842,94.242,,,
2010,3,8,1,0,185.0,0.048,28.842,94.242,,,
2010,3,8,1,30,154.0,0.053,28.842,94.242,,,
2010,3,8,2,0,175.0,0.054,28.842,94.242,,,
2010,3,8,2,30,215.0,0.079,28.842,94.242,,,
2010,3,8,3,0,239.0,0.0819999999999999,28.842,94.242,,,
2010,3,8,3,30,263.0,0.114,28.842,94.242,,,
2010,3,8,4,0,241.0,0.152,28.842,94.242,,,
2010,3,8,4,30,256.0,0.175,28.842,94.242,,,
2010,3,8,5,0,270.0,0.158,28.842,94.242,,,
2010,3,8,5,30,262.0,0.193,28.842,94.242,,,
2010,3,8,6,0,267.0,0.198,28.842,94.242,,,
2010,3,8,6,30,265.0,0.218,28.842,94.242,,,
2010,3,8,7,0,262.0,0.203,28.842,94.242,,,
2010,3,8,7,30,267.0,0.201,28.842,94.242,,,
2010,3,8,8,0,260.0,0.192,28.842,94.242,,,
2010,3,8,8,30,261.0,0.296,28.842,94.242,,,
2010,3,8,9,0,263.0,0.303,28.842,94.242,,,
2010,3,8,9,30,265.0,0.294,28.842,94.242,,,
2010,3,8,10,0,275.0,0.305,28.842,94.242,,,
2010,3,8,10,30,272.0,0.268,28.842,94.242,,,
2010,3,8,11,0,280.0,0.256,28.842,94.242,,,
2010,3,8,11,30,277.0,0.228,28.842,94.242,,,
2010,3,8,12,0,275.0,0.227,28.842,94.242,,,
2010,3,8,12,30,275.0,0.1939999999999999,28.842,94.242,,,
2010,3,8,13,0,276.0,0.196,28.842,94.242,,,
2010,3,8,13,30,274.0,0.17,28.842,94.242,,,
2010,3,8,14,0,278.0,0.145,28.842,94.242,,,
2010,3,8,14,30,284.0,0.138,28.842,94.242,,,
2010,3,8,15,0,306.0,0.107,28.842,94.242,,,
2010,3,8,15,30,280.0,0.1159999999999999,28.842,94.242,,,
2010,3,8,16,0,289.0,0.098,28.842,94.242,,,
2010,3,8,16,30,277.0,0.1169999999999999,28.842,94.242,,,
2010,3,8,17,0,271.0,0.1119999999999999,28.842,94.242,,,
2010,3,8,17,30,258.0,0.111,28.842,94.242,,,
2010,3,8,18,0,256.0,0.185,28.842,94.242,,,
2010,3,8,18,30,259.0,0.203,28.842,94.242,,,
2010,3,8,19,0,247.0,0.189,28.842,94.242,,,
2010,3,8,22,30,222.0,0.069,28.842,94.242,,,
2010,3,8,23,0,293.0,0.079,28.842,94.242,,,
2010,3,8,23,30,314.0,0.111,28.842,94.242,,,
2010,3,9,0,0,299.0,0.176,28.842,94.242,,,
2010,3,9,0,30,316.0,0.187,28.842,94.242,,,
2010,3,9,1,0,327.0,0.171,28.842,94.242,,,
2010,3,9,1,30,316.0,0.124,28.842,94.242,,,
2010,3,9,2,0,309.0,0.147,28.842,94.242,,,
2010,3,9,2,30,308.0,0.149,28.842,94.242,,,
2010,3,9,3,0,282.0,0.13,28.842,94.242,,,
2010,3,9,3,30,283.0,0.096,28.842,94.242,,,
2010,3,9,4,0,256.0,0.173,28.842,94.242,,,
2010,3,9,4,30,240.0,0.2239999999999999,28.842,94.242,,,
2010,3,9,5,0,238.0,0.283,28.842,94.242,,,
2010,3,9,5,30,233.0,0.447,28.842,94.242,,,
2010,3,9,6,0,234.0,0.445,28.842,94.242,,,
2010,3,9,6,30,235.0,0.457,28.842,94.242,,,
2010,3,9,7,0,230.0,0.491,28.842,94.242,,,
2010,3,9,7,30,230.0,0.512,28.842,94.242,,,
2010,3,9,8,0,226.0,0.578,28.842,94.242,,,
2010,3,9,8,30,222.0,0.555,28.842,94.242,,,
2010,3,9,9,0,215.0,0.606,28.842,94.242,,,
2010,3,9,9,30,213.0,0.631,28.842,94.242,,,
2010,3,9,10,0,212.0,0.594,28.842,94.242,,,
2010,3,9,10,30,218.0,0.596,28.842,94.242,,,
2010,3,9,11,0,219.0,0.6,28.842,94.242,,,
2010,3,9,11,30,216.0,0.583,28.842,94.242,,,
2010,3,9,12,0,220.0,0.5660000000000001,28.842,94.242,,,
2010,3,9,12,30,222.0,0.5,28.842,94.242,,,
2010,3,9,13,0,225.0,0.322,28.842,94.242,,,
2010,3,9,13,30,230.0,0.191,28.842,94.242,,,
2010,3,9,14,0,258.0,0.181,28.842,94.242,,,
2010,3,9,14,30,295.0,0.118,28.842,94.242,,,
2010,3,9,15,0,295.0,0.11,28.842,94.242,,,
2010,3,9,15,30,324.0,0.139,28.842,94.242,,,
2010,3,9,16,0,304.0,0.12,28.842,94.242,,,
2010,3,9,16,30,330.0,0.118,28.842,94.242,,,
2010,3,9,17,0,312.0,0.113,28.842,94.242,,,
2010,3,9,17,30,343.0,0.087,28.842,94.242,,,
2010,3,9,18,0,326.0,0.077,28.842,94.242,,,
2010,3,9,18,30,335.0,0.083,28.842,94.242,,,
2010,3,9,19,0,30.0,0.038,28.842,94.242,,,
2010,3,9,19,30,46.0,0.04,28.842,94.242,,,
2010,3,9,20,0,103.0,0.069,28.842,94.242,,,
2010,3,9,20,30,112.0,0.105,28.842,94.242,,,
2010,3,9,21,0,127.0,0.111,28.842,94.242,,,
2010,3,9,21,30,129.0,0.11,28.842,94.242,,,
2010,3,9,22,0,126.0,0.108,28.842,94.242,,,
2010,3,9,22,30,140.0,0.103,28.842,94.242,,,
2010,3,9,23,0,165.0,0.121,28.842,94.242,,,
2010,3,9,23,30,172.0,0.108,28.842,94.242,,,
2010,3,10,0,0,153.0,0.163,28.842,94.242,,,
2010,3,10,0,30,167.0,0.122,28.842,94.242,,,
2010,3,10,1,0,169.0,0.14,28.842,94.242,,,
2010,3,10,1,30,182.0,0.136,28.842,94.242,,,
2010,3,10,2,0,182.0,0.188,28.842,94.242,,,
