year,month,day,hour,min,wind dir,wind speed,lat,lon
2010,5,29,16,50,116.0,3.5,22.14,94.112
2010,5,29,17,50,110.0,3.8,22.14,94.112
2010,5,29,18,50,118.0,4.0,22.14,94.112
2010,5,29,19,50,120.0,3.1,22.14,94.112
2010,5,29,20,50,105.0,3.4,22.14,94.112
2010,5,29,21,50,97.0,2.8,22.14,94.112
2010,5,29,22,50,92.0,2.9,22.14,94.112
2010,5,29,23,50,112.0,3.2,22.14,94.112
2010,5,30,0,50,124.0,3.4,22.14,94.112
2010,5,30,1,50,139.0,3.2,22.14,94.112
2010,5,30,2,50,124.0,2.2,22.14,94.112
2010,5,30,3,50,121.0,3.2,22.14,94.112
2010,5,30,4,50,122.0,3.5,22.14,94.112
2010,5,30,5,50,118.0,3.9,22.14,94.112
2010,5,30,6,50,130.0,3.6,22.14,94.112
2010,5,30,7,50,121.0,3.5,22.14,94.112
2010,5,30,8,50,100.0,2.9,22.14,94.112
2010,5,30,9,50,111.0,4.2,22.14,94.112
2010,5,30,10,50,111.0,4.7,22.14,94.112
2010,5,30,11,50,75.0,5.5,22.14,94.112
2010,5,30,12,50,82.0,5.4,22.14,94.112
2010,5,30,13,50,98.0,5.6,22.14,94.112
2010,5,30,14,50,103.0,5.7,22.14,94.112
2010,5,30,15,50,103.0,5.6,22.14,94.112
2010,5,30,16,50,106.0,4.8,22.14,94.112
2010,5,30,17,50,108.0,5.2,22.14,94.112
2010,5,30,18,50,109.0,5.4,22.14,94.112
2010,5,30,19,50,125.0,4.8,22.14,94.112
2010,5,30,20,50,117.0,5.0,22.14,94.112
2010,5,30,21,50,125.0,5.8,22.14,94.112
2010,5,30,22,50,123.0,6.4,22.14,94.112
2010,5,30,23,50,112.0,6.5,22.14,94.112
2010,5,31,0,50,103.0,6.4,22.14,94.112
2010,5,31,1,50,105.0,6.3,22.14,94.112
2010,5,31,2,50,97.0,5.6,22.14,94.112
2010,5,31,3,50,96.0,5.5,22.14,94.112
2010,5,31,4,50,91.0,5.1,22.14,94.112
2010,5,31,5,50,98.0,6.0,22.14,94.112
2010,5,31,6,50,96.0,6.6,22.14,94.112
2010,5,31,7,50,93.0,5.0,22.14,94.112
2010,5,31,8,50,87.0,6.2,22.14,94.112
2010,5,31,9,50,91.0,6.3,22.14,94.112
2010,5,31,10,50,88.0,6.4,22.14,94.112
2010,5,31,11,50,85.0,5.4,22.14,94.112
2010,5,31,12,50,73.0,5.0,22.14,94.112
2010,5,31,13,50,90.0,6.5,22.14,94.112
2010,5,31,14,50,95.0,6.2,22.14,94.112
2010,5,31,15,50,116.0,5.8,22.14,94.112
2010,5,31,16,50,121.0,6.1,22.14,94.112
2010,5,31,17,50,131.0,5.8,22.14,94.112
2010,5,31,18,50,135.0,4.3,22.14,94.112
2010,5,31,19,50,115.0,3.2,22.14,94.112
2010,5,31,20,50,109.0,2.7,22.14,94.112
2010,5,31,21,50,92.0,2.6,22.14,94.112
2010,5,31,22,50,78.0,3.1,22.14,94.112
2010,5,31,23,50,98.0,4.1,22.14,94.112
2010,6,1,0,50,114.0,4.3,22.14,94.112
2010,6,1,1,50,105.0,4.4,22.14,94.112
2010,6,1,2,50,104.0,5.5,22.14,94.112
2010,6,1,3,50,97.0,4.9,22.14,94.112
2010,6,1,4,50,86.0,5.6,22.14,94.112
2010,6,1,5,50,94.0,7.0,22.14,94.112
2010,6,1,6,50,89.0,7.0,22.14,94.112
2010,6,1,7,50,94.0,7.8,22.14,94.112
2010,6,1,8,50,106.0,7.8,22.14,94.112
2010,6,1,9,50,117.0,7.6,22.14,94.112
2010,6,1,10,50,121.0,6.5,22.14,94.112
2010,6,1,11,50,122.0,6.1,22.14,94.112
2010,6,1,12,50,118.0,5.2,22.14,94.112
