year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2010,1,12,21,44,30.0,3.1,,28.118,-93.67,,
2010,1,12,21,59,20.0,2.6,,28.118,-93.67,,
2010,1,12,22,14,20.0,3.6,,28.118,-93.67,,
2010,1,12,22,29,40.0,2.1,,28.118,-93.67,,
2010,1,12,22,44,30.0,4.1,,28.118,-93.67,,
2010,1,12,23,14,30.0,3.1,,28.118,-93.67,,
2010,1,12,23,29,30.0,3.6,,28.118,-93.67,,
2010,1,12,23,44,40.0,3.6,,28.118,-93.67,,
2010,1,12,23,59,50.0,2.6,,28.118,-93.67,,
2010,1,13,0,14,30.0,3.6,,28.118,-93.67,,
2010,1,13,0,29,40.0,3.6,,28.118,-93.67,,
2010,1,13,0,44,30.0,3.1,,28.118,-93.67,,
2010,1,13,0,59,40.0,2.6,,28.118,-93.67,,
2010,1,13,1,14,10.0,3.1,,28.118,-93.67,,
2010,1,13,1,29,50.0,1.5,,28.118,-93.67,,
2010,1,13,1,44,30.0,2.1,,28.118,-93.67,,
2010,1,13,1,59,60.0,2.1,,28.118,-93.67,,
2010,1,13,2,14,50.0,1.5,,28.118,-93.67,,
2010,1,13,2,29,40.0,2.1,,28.118,-93.67,,
2010,1,13,2,44,30.0,2.1,,28.118,-93.67,,
2010,1,13,2,59,30.0,2.1,,28.118,-93.67,,
2010,1,13,3,14,30.0,2.6,,28.118,-93.67,,
2010,1,13,3,29,50.0,2.6,,28.118,-93.67,,
2010,1,13,3,44,40.0,3.1,,28.118,-93.67,,
2010,1,13,3,59,50.0,2.6,,28.118,-93.67,,
2010,1,13,4,14,50.0,2.6,,28.118,-93.67,,
2010,1,13,4,29,50.0,3.1,,28.118,-93.67,,
2010,1,13,4,44,40.0,3.1,,28.118,-93.67,,
2010,1,13,4,59,80.0,4.6,,28.118,-93.67,,
2010,1,13,5,14,70.0,3.1,,28.118,-93.67,,
2010,1,13,5,29,90.0,3.6,,28.118,-93.67,,
2010,1,13,5,44,80.0,4.1,,28.118,-93.67,,
2010,1,13,5,59,80.0,4.1,,28.118,-93.67,,
2010,1,13,6,14,80.0,4.1,,28.118,-93.67,,
2010,1,13,6,29,90.0,4.6,,28.118,-93.67,,
2010,1,13,6,44,100.0,4.1,,28.118,-93.67,,
2010,1,13,6,59,90.0,3.1,,28.118,-93.67,,
2010,1,13,7,14,100.0,3.1,,28.118,-93.67,,
2010,1,13,7,29,90.0,3.6,,28.118,-93.67,,
2010,1,13,7,44,120.0,3.1,,28.118,-93.67,,
2010,1,13,7,59,100.0,4.6,,28.118,-93.67,,
2010,1,13,8,14,120.0,4.6,,28.118,-93.67,,
2010,1,13,8,29,110.0,3.6,,28.118,-93.67,,
2010,1,13,8,44,100.0,4.6,,28.118,-93.67,,
2010,1,13,8,59,100.0,4.1,,28.118,-93.67,,
2010,1,13,9,29,110.0,4.1,,28.118,-93.67,,
2010,1,13,9,44,90.0,4.1,,28.118,-93.67,,
2010,1,13,9,59,100.0,4.1,,28.118,-93.67,,
2010,1,13,10,14,100.0,4.1,,28.118,-93.67,,
2010,1,13,10,29,100.0,4.6,,28.118,-93.67,,
2010,1,13,10,44,100.0,5.1,,28.118,-93.67,,
2010,1,13,10,59,90.0,5.1,,28.118,-93.67,,
2010,1,13,11,14,90.0,4.6,,28.118,-93.67,,
2010,1,13,11,29,100.0,6.7,,28.118,-93.67,,
2010,1,13,11,44,90.0,6.7,,28.118,-93.67,,
2010,1,13,11,59,90.0,5.1,,28.118,-93.67,,
2010,1,13,12,14,90.0,4.6,,28.118,-93.67,,
