time,coord,wind
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.77964)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7791084)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7785768)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7780452)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7775136)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.776982)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7764504)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7759188)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7753872)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7748556)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.77432400000001)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7737924)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7732608)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7727292)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
60.0,"CoordinatesBase(latitude=50.0, longitude=-88.7721976)","SpeedMeasure(speed_north=1.5214257422665187, speed_east=-3.2627080333319394)"
